Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.9687,43.9687,43.75,43.9375,27.357319,1003200
1993-02-01,43.9687,44.25,43.9687,44.25,27.551904999999998,480500
1993-02-02,44.2187,44.375,44.125,44.3437,27.610243,201300
1993-02-03,44.4062,44.8437,44.375,44.8125,27.902132,529400
1993-02-04,44.9687,45.0937,44.4687,45.0,28.018873,531500
1993-02-05,44.9687,45.0625,44.7187,44.9687,27.999384000000003,492100
1993-02-08,44.9687,45.125,44.9062,44.9687,27.999384000000003,596100
1993-02-09,44.8125,44.8125,44.5625,44.6562,27.804810999999997,122100
1993-02-10,44.6562,44.75,44.5312,44.7187,27.843721000000002,379600
1993-02-11,44.7812,45.125,44.7812,44.9375,27.979972999999998,19500
1993-02-12,44.875,44.875,44.5937,44.5937,27.765888,42500
1993-02-16,44.4687,44.4687,43.4062,43.4687,27.06543,374800
1993-02-17,43.4687,43.5312,43.2812,43.4375,27.046007,210900
1993-02-18,43.9375,43.9375,42.8125,43.4062,27.02651,378100
1993-02-19,43.4062,43.5625,43.3437,43.5625,27.123822999999998,34900
1993-02-22,43.6875,43.7812,43.5625,43.7187,27.221069,513600
1993-02-23,43.8437,43.875,43.4687,43.6875,27.201672,373700
1993-02-24,43.7187,44.25,43.7187,44.25,27.551904999999998,26300
1993-02-25,44.2187,44.375,44.125,44.3437,27.610243,44500
1993-02-26,44.4375,44.4375,44.1875,44.4062,27.649151,66200
1993-03-01,44.5625,44.5625,44.2187,44.2812,27.571312,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,27.979972999999998,182400
1993-03-03,45.0,45.1562,44.9375,45.125,28.096714000000002,280100
1993-03-04,45.1875,45.1875,44.875,44.875,27.941048,89500
1993-03-05,44.9375,45.125,44.7187,44.75,27.863218,40000
1993-03-08,44.8437,45.75,44.8437,45.75,28.485851,50800
1993-03-09,45.6562,45.6875,45.5,45.5937,28.388534999999997,169300
1993-03-10,45.5937,45.6875,45.4062,45.6875,28.446934000000002,194400
1993-03-11,45.7187,45.8437,45.5,45.5625,28.369133,70900
1993-03-12,45.1875,45.2187,44.8125,45.0937,28.077213,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,28.213457000000002,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,28.213457000000002,30800
1993-03-17,45.25,45.25,44.9687,45.0312,28.038307,21800
1993-03-18,45.2187,45.5,45.2187,45.3125,28.213457000000002,59300
1993-03-19,45.2812,45.2812,45.0312,45.0312,28.170727000000003,66900
1993-03-22,44.5937,44.875,44.5625,44.7812,28.014334,183400
1993-03-23,44.9062,44.9375,44.8125,44.875,28.072998,55200
1993-03-24,44.8125,45.0625,44.5937,44.875,28.072998,37200
1993-03-25,44.9062,45.25,44.8437,45.1562,28.248932,110100
1993-03-26,45.125,45.1562,44.875,44.9062,28.092522,101500
1993-03-29,44.9375,45.3125,44.9375,45.0937,28.209821999999996,87100
1993-03-30,45.1562,45.2187,45.0937,45.2187,28.288017,56000
1993-03-31,45.3437,45.4687,45.1875,45.1875,28.268488,111600
1993-04-01,45.25,45.25,44.9375,45.0312,28.170727000000003,129500
1993-04-02,44.6562,44.6562,44.0937,44.0937,27.584238,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,27.72113,172200
1993-04-06,44.4062,44.4062,44.0625,44.1875,27.642915999999996,129700
1993-04-07,44.25,44.3437,44.1562,44.3437,27.740646,28000
1993-04-08,44.5312,44.5312,44.0937,44.2812,27.701548,180800
1993-04-12,44.7187,44.9375,44.6562,44.9062,28.092522,348500
1993-04-13,44.875,45.1562,44.8437,45.0,28.151213000000002,146100
1993-04-14,45.0312,45.0625,44.9062,44.9375,28.112104,119600
1993-04-15,44.9062,45.0312,44.75,44.9375,28.112104,148600
1993-04-16,44.9687,45.0312,44.875,44.9375,28.112104,47900
1993-04-19,44.9375,45.0625,44.7187,44.75,27.994804,157000
1993-04-20,44.6875,44.75,44.25,44.5312,27.857947999999997,279500
1993-04-21,44.625,44.625,44.375,44.5,27.838428000000004,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,27.486525,97700
1993-04-23,43.8437,43.9687,43.6875,43.75,27.369234000000002,106000
1993-04-26,43.7812,43.9375,43.2812,43.4062,27.154159999999997,62600
1993-04-27,43.3437,43.875,43.3437,43.875,27.447423999999998,156800
1993-04-28,43.8125,43.9062,43.7187,43.7812,27.388746,85900
1993-04-29,43.875,43.9687,43.625,43.9687,27.506028999999998,85000
1993-04-30,44.125,44.2812,44.0312,44.0312,27.545139000000002,88500
1993-05-03,44.0937,44.3125,43.9062,44.3125,27.72113,80500
1993-05-04,44.4062,44.625,44.3437,44.4687,27.81883,149100
1993-05-05,44.4687,44.75,44.4687,44.5937,27.897036,109000
1993-05-06,44.5312,44.5625,44.4062,44.4375,27.799326,54700
1993-05-07,44.4687,44.4687,44.2812,44.3437,27.740646,68000
1993-05-10,44.4062,44.6875,44.4062,44.4375,27.799326,113900
1993-05-11,44.4375,44.625,44.3125,44.625,27.916626,42600
1993-05-12,44.4375,44.5937,44.4375,44.5625,27.877501000000002,31000
1993-05-13,44.375,44.375,44.0,44.0312,27.545139000000002,129100
1993-05-14,44.0312,44.1562,43.9687,44.0,27.525614,63500
